check_id,label,category_id,category_name,raw_value,normalized,tool,deduplicated,timestamp,environment_label,runtime_seconds
checking_file_c_windows_system32_vboxoglfeedbackspu_dll,Checking file C:\Windows\System32\vboxoglfeedbackspu.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxoglpackspu_dll,Checking file C:\Windows\System32\vboxoglpackspu.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxoglpassthroughspu_dll,Checking file C:\Windows\System32\vboxoglpassthroughspu.dll,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxservice_exe,Checking file C:\Windows\System32\vboxservice.exe,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxtray_exe,Checking file C:\Windows\System32\vboxtray.exe,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_file_c_windows_system32_vboxcontrol_exe,Checking file C:\Windows\System32\VBoxControl.exe,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_acpi_dsdt_vbox,Checking reg key HARDWARE\ACPI\DSDT\VBOX__,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_acpi_fadt_vbox,Checking reg key HARDWARE\ACPI\FADT\VBOX__,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_hardware_acpi_rsdt_vbox,Checking reg key HARDWARE\ACPI\RSDT\VBOX__,vm_checks,VM Detection Checks,BAD,detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_software_oracle_virtualbox_guest_additions,Checking reg key SOFTWARE\Oracle\VirtualBox Guest Additions,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
checking_reg_key_system_controlset001_services_vboxguest,Checking reg key SYSTEM\ControlSet001\Services\VBoxGuest,vm_checks,VM Detection Checks,GOOD,not_detected,al-khaser,False,2026-06-10T16:04:59.634002+00:00,win10_vbox_default,85.3439
